,date,daily_vaccinations
0,2021-01-17,112
1,2021-01-18,554
2,2021-01-19,3823
3,2021-01-20,7136
4,2021-01-21,27304
5,2021-01-22,40980
6,2021-01-23,76825
7,2021-01-24,86373
8,2021-01-25,99928
9,2021-01-26,119630
10,2021-01-27,157335
11,2021-01-28,187769
12,2021-01-29,203165
13,2021-01-30,209348
14,2021-01-31,209905
15,2021-02-01,203386
16,2021-02-02,206238
17,2021-02-03,198831
18,2021-02-04,231737
19,2021-02-05,200982
20,2021-02-06,199739
21,2021-02-07,211375
22,2021-02-08,211604
23,2021-02-09,218237
24,2021-02-10,228375
25,2021-02-11,190540
26,2021-02-12,231604
27,2021-02-13,246260
28,2021-02-14,240466
29,2021-02-15,241206
30,2021-02-16,255676
31,2021-02-17,251887
32,2021-02-18,257121
33,2021-02-19,262717
34,2021-02-20,241137
35,2021-02-21,244837
36,2021-02-22,247768
37,2021-02-23,241018
38,2021-02-24,238305
39,2021-02-25,227474
40,2021-02-26,223804
41,2021-02-27,215553
42,2021-02-28,211824
43,2021-03-01,205292
44,2021-03-02,220567
45,2021-03-03,246521
46,2021-03-04,277239
47,2021-03-05,295339
48,2021-03-10,155024
49,2021-03-11,143026
50,2021-03-12,140053
51,2021-03-13,164909
52,2021-03-14,168025
53,2021-03-15,230058
54,2021-03-17,331400
55,2021-03-18,324639
56,2021-03-19,312314
57,2021-03-20,302425
58,2021-03-21,305644
59,2021-03-22,317286
60,2021-03-23,417182
61,2021-03-24,465953
62,2021-03-25,506249
63,2021-03-26,528163
64,2021-03-27,577131
65,2021-03-28,592115
66,2021-03-29,566513
67,2021-03-30,430480
68,2021-03-31,458860
69,2021-04-02,514287
70,2021-04-03,491098
71,2021-04-04,480449
72,2021-04-05,554114
73,2021-04-06,661176
74,2021-04-07,720288
75,2021-04-08,726681
76,2021-04-09,728920
77,2021-04-10,798868
78,2021-04-11,810162
79,2021-04-12,781720
80,2021-04-13,1135847
81,2021-04-14,1072282
82,2021-04-18,886544
83,2021-04-19,903176
84,2021-04-20,429344
85,2021-04-21,336382
86,2021-04-22,430031
87,2021-04-23,683902
88,2021-04-24,727766
89,2021-04-25,725721
90,2021-04-26,747378
91,2021-04-27,908810
92,2021-04-28,992146
93,2021-04-29,995000
94,2021-04-30,798004
95,2021-05-01,757933
96,2021-05-02,735178
97,2021-05-03,710754
98,2021-05-04,729289
99,2021-05-05,740290
100,2021-05-06,650348
101,2021-05-07,596657
102,2021-05-10,486170
103,2021-05-11,417092
104,2021-05-12,428988
105,2021-05-13,537959
106,2021-05-14,745397
107,2021-05-15,800404
108,2021-05-16,795659
109,2021-05-17,894140
110,2021-05-18,876967
111,2021-05-19,844329
112,2021-05-20,807435
113,2021-05-25,1344045
114,2021-05-26,1352814
115,2021-05-27,1329775
116,2021-05-28,1273730
117,2021-05-29,1123150
118,2021-05-30,922807
119,2021-05-31,756893
120,2021-06-01,643380
121,2021-06-02,621607
122,2021-06-03,723103
123,2021-06-04,615884
124,2021-06-05,642128
125,2021-06-06,657584
126,2021-06-09,841848
127,2021-06-10,794257
128,2021-06-11,859294
129,2021-06-13,920400
130,2021-06-14,882077
131,2021-06-15,927995
132,2021-06-16,961115
133,2021-06-17,1173151
134,2021-06-18,1233201
135,2021-06-19,1289940
136,2021-06-20,1260947
137,2021-06-21,1349548
138,2021-06-22,1401258
139,2021-06-23,1436195
140,2021-06-24,1259303
141,2021-06-27,1406299
142,2021-06-28,1222981
143,2021-06-29,1250068
144,2021-07-01,1408975
145,2021-07-04,1213850
146,2021-07-05,1427899
147,2021-07-06,1257242
148,2021-07-07,1328291
149,2021-07-08,1242514
150,2021-07-09,1307672
151,2021-07-11,1307796
152,2021-07-12,1274707
153,2021-07-13,1339579
